COD_ESTACION;NOM_ESTACION;FECHA;CONTAMINANTE;MEDICION
03002002;AGOST;01/01/2013;AS;
03002002;AGOST;01/01/2013;BAP;
03002002;AGOST;01/01/2013;CD;
03002002;AGOST;01/01/2013;PB;
03002002;AGOST;01/01/2013;PM10;7
03002002;AGOST;01/01/2013;PM2.5;
03002002;AGOST;01/01/2013;NI;
03002002;AGOST;03/01/2013;AS;
03002002;AGOST;03/01/2013;BAP;
03002002;AGOST;03/01/2013;CD;
03002002;AGOST;03/01/2013;PB;
03002002;AGOST;03/01/2013;PM10;
03002002;AGOST;03/01/2013;PM2.5;8
03002002;AGOST;03/01/2013;NI;
03002002;AGOST;04/01/2013;AS;
03002002;AGOST;04/01/2013;BAP;
03002002;AGOST;04/01/2013;CD;
03002002;AGOST;04/01/2013;PB;
03002002;AGOST;04/01/2013;PM10;
03002002;AGOST;04/01/2013;PM2.5;10
03002002;AGOST;04/01/2013;NI;
03002002;AGOST;05/01/2013;AS;
03002002;AGOST;05/01/2013;BAP;
03002002;AGOST;05/01/2013;CD;
03002002;AGOST;05/01/2013;PB;
03002002;AGOST;05/01/2013;PM10;
03002002;AGOST;05/01/2013;PM2.5;6
03002002;AGOST;05/01/2013;NI;
03002002;AGOST;06/01/2013;AS;
03002002;AGOST;06/01/2013;BAP;
03002002;AGOST;06/01/2013;CD;
03002002;AGOST;06/01/2013;PB;
03002002;AGOST;06/01/2013;PM10;
03002002;AGOST;06/01/2013;PM2.5;10
03002002;AGOST;06/01/2013;NI;
03002002;AGOST;07/01/2013;AS;
03002002;AGOST;07/01/2013;BAP;
03002002;AGOST;07/01/2013;CD;
03002002;AGOST;07/01/2013;PB;
03002002;AGOST;07/01/2013;PM10;
03002002;AGOST;07/01/2013;PM2.5;11
03002002;AGOST;07/01/2013;NI;
03002002;AGOST;08/01/2013;AS;
03002002;AGOST;08/01/2013;BAP;
03002002;AGOST;08/01/2013;CD;
03002002;AGOST;08/01/2013;PB;
03002002;AGOST;08/01/2013;PM10;
03002002;AGOST;08/01/2013;PM2.5;13
03002002;AGOST;08/01/2013;NI;
03002002;AGOST;10/01/2013;PM2.5;
03002002;AGOST;10/01/2013;PB;0
03002002;AGOST;10/01/2013;AS;0.05
03002002;AGOST;10/01/2013;PM10;8
03002002;AGOST;10/01/2013;CD;0.05
03002002;AGOST;10/01/2013;NI;1.4
03002002;AGOST;10/01/2013;BAP;
03002002;AGOST;11/01/2013;AS;
03002002;AGOST;11/01/2013;BAP;
03002002;AGOST;11/01/2013;PB;
03002002;AGOST;11/01/2013;PM2.5;
03002002;AGOST;11/01/2013;NI;
03002002;AGOST;11/01/2013;PM10;10
03002002;AGOST;11/01/2013;CD;
03002002;AGOST;12/01/2013;AS;0.16
03002002;AGOST;12/01/2013;BAP;
03002002;AGOST;12/01/2013;CD;0.05
03002002;AGOST;12/01/2013;PB;0
03002002;AGOST;12/01/2013;PM10;8
03002002;AGOST;12/01/2013;PM2.5;
03002002;AGOST;12/01/2013;NI;1.4
03002002;AGOST;13/01/2013;AS;
03002002;AGOST;13/01/2013;BAP;
03002002;AGOST;13/01/2013;CD;
03002002;AGOST;13/01/2013;PB;
03002002;AGOST;13/01/2013;PM10;9
03002002;AGOST;13/01/2013;PM2.5;
03002002;AGOST;13/01/2013;NI;
03002002;AGOST;14/01/2013;AS;0.05
03002002;AGOST;14/01/2013;BAP;
